ID,collect_datetime,step_count
#BIBHHG,2022-08-09,210
#BIBHHG,2022-08-10,6332
#BIBHHG,2022-08-11,5436
#BIBHHG,2022-08-12,8729
#BIBHHG,2022-08-13,13768
#BIBHHG,2022-08-14,5937
#BIBHHG,2022-08-15,8817
#BIBHHG,2022-08-16,101
#BIBHHG,2022-08-17,11512
#BIBHHG,2022-08-18,8206
#BIBHHG,2022-08-19,1047
#BIBHHG,2022-08-20,734
#BIBHHG,2022-08-21,9362
#BIBHHG,2022-08-23,6706
#BIBHHG,2022-08-24,5705
#BIBHHG,2022-08-25,10126
#BIBHHG,2022-08-26,10
#BOFKIP,2022-07-16,20
#BOFKIP,2022-07-17,7
#BOFKIP,2022-07-22,5619
#BOFKIP,2022-07-23,1752
#BOFKIP,2022-07-27,19
#BOFKIP,2022-07-30,21
#BOFKIP,2022-07-31,25
#BOFKIP,2022-08-01,21
#BOFKIP,2022-08-02,7
#BOFKIP,2022-08-05,16
#BQUFYB,2022-07-31,35
#BRJFDA,2022-07-15,2574
#BRJFDA,2022-07-16,7493
#BRJFDA,2022-07-17,13977
#BRJFDA,2022-07-19,12555
#BRJFDA,2022-07-26,2599
#BTSZRG,2022-07-23,4483
#BTSZRG,2022-07-26,1900
#BTSZRG,2022-08-11,5247
#BTSZRG,2022-08-12,8426
#BTSZRG,2022-08-16,13096
#BTSZRG,2022-08-17,9939
#BTSZRG,2022-08-25,6
#BTUYIP,2022-07-15,4720
#BUHKUT,2022-07-15,2443
#BUHKUT,2022-07-16,9995
#BUHKUT,2022-07-17,118
#BUHKUT,2022-07-18,3583
#BUHKUT,2022-07-23,1080
#BUHKUT,2022-07-26,3489
#BUHKUT,2022-07-28,2306
#BUHKUT,2022-07-29,1466
#BUHKUT,2022-07-31,2973
#BUHKUT,2022-08-01,6945
#BUHKUT,2022-08-02,617
#BUHKUT,2022-08-03,341
#BUHKUT,2022-08-04,11170
#BUHKUT,2022-08-05,1562
#BUHKUT,2022-08-06,4849
#BUHKUT,2022-08-07,3025
#BUHKUT,2022-08-09,2217
#BUHKUT,2022-08-11,6179
#BUHKUT,2022-08-12,17
#BYJNBA,2022-07-26,5988
#BYJNBA,2022-07-27,8287
#BYJNBA,2022-07-28,3673
#BYJNBA,2022-07-29,2731
#BYJNBA,2022-07-30,973
#BYJNBA,2022-07-31,1321
#BYJNBA,2022-08-01,9285
#BYJNBA,2022-08-02,10030
#BYJNBA,2022-08-03,9521
#BYJNBA,2022-08-04,5349
#BYJNBA,2022-08-09,4817
#BYJNBA,2022-08-10,10629
#BYJNBA,2022-08-17,4145
#BYJNBA,2022-08-19,8376
#BYJNBA,2022-08-23,15083
#BYJNBA,2022-08-24,56
#BZBUYV,2022-08-16,5229
#BZBUYV,2022-08-25,1310
#CEHWHH,2022-07-28,5931
#CHMIEV,2022-07-14,4278
#CHMIEV,2022-07-15,4528
#CHMIEV,2022-07-16,415
#CHMIEV,2022-07-17,1941
#CHMIEV,2022-07-18,4928
#CHMIEV,2022-07-19,2608
#CHMIEV,2022-07-20,4513
#CHMIEV,2022-07-21,6105
#CHMIEV,2022-07-22,6506
#CHMIEV,2022-07-23,3099
#CHMIEV,2022-07-24,5031
#CHMIEV,2022-07-25,2118
#CHMIEV,2022-07-26,1771
#CHMIEV,2022-07-27,2722
#CHMIEV,2022-07-29,3078
#CHMIEV,2022-07-30,8366
#CHMIEV,2022-07-31,2032
#CHMIEV,2022-08-01,6779
#CHMIEV,2022-08-02,1739
#CHMIEV,2022-08-04,7092
#CHMIEV,2022-08-05,11380
#CHMIEV,2022-08-06,4436
#CHMIEV,2022-08-07,434
#CHMIEV,2022-08-08,1368
#CHMIEV,2022-08-09,1259
#CHMIEV,2022-08-10,1731
#CHMIEV,2022-08-11,628
#CHMIEV,2022-08-12,2093
#CHMIEV,2022-08-13,314
#CHMIEV,2022-08-14,6488
#CHMIEV,2022-08-15,835
#CHMIEV,2022-08-16,2145
#CHMIEV,2022-08-18,8536
#CHMIEV,2022-08-19,7012
#CHMIEV,2022-08-20,6797
#CHMIEV,2022-08-21,7945
#CHMIEV,2022-08-22,2617
#CHMIEV,2022-08-23,6729
#CHMIEV,2022-08-24,1292
#CHMIEV,2022-08-25,4269
#CJRKRM,2022-07-14,10843
#CJRKRM,2022-07-15,10539
#CJRKRM,2022-07-17,5053
#CJRKRM,2022-07-18,13106
#CJRKRM,2022-07-19,7035
#CJRKRM,2022-07-20,13830
#CJRKRM,2022-07-21,2609
#CJRKRM,2022-07-22,11329
#CJRKRM,2022-07-23,15323
#CJRKRM,2022-07-24,15873
#CJRKRM,2022-07-25,12394
#CJRKRM,2022-07-26,10234
#CJRKRM,2022-07-27,18317
#CJRKRM,2022-07-28,12129
#CJRKRM,2022-07-31,2802
#CJRKRM,2022-08-04,10344
#CJRKRM,2022-08-07,184
#CJRKRM,2022-08-09,6776
#CJRKRM,2022-08-10,13163
#CJRKRM,2022-08-11,11161
#CJRKRM,2022-08-12,12437
#CJRKRM,2022-08-13,4618
#CJRKRM,2022-08-14,7017
#CJRKRM,2022-08-15,296
#CJRKRM,2022-08-16,23412
#CJRKRM,2022-08-17,9650
#CJRKRM,2022-08-19,10626
#CJRKRM,2022-08-20,17740
#CJRKRM,2022-08-21,2342
#CJRKRM,2022-08-22,5648
#CJRKRM,2022-08-23,58
#CJRKRM,2022-08-24,12652
#CJRKRM,2022-08-25,10081
#CKWRUP,2022-07-24,287
#CKWRUP,2022-07-26,2338
#CSTDHH,2022-07-17,25
#CSTDHH,2022-07-18,1890
#CSTDHH,2022-07-19,2638
#CSTDHH,2022-07-20,4204
#CSTDHH,2022-07-22,6084
#CSTDHH,2022-07-23,1028
#CSTDHH,2022-07-25,167
#CSTDHH,2022-07-26,498
#CSTDHH,2022-07-27,454
#CSTDHH,2022-07-28,719
#CSTDHH,2022-07-30,147
#CSTDHH,2022-07-31,479
#CSTDHH,2022-08-01,62
#CSTDHH,2022-08-02,868
#CSTDHH,2022-08-03,60
#CSTDHH,2022-08-04,68
#CSTDHH,2022-08-05,229
#CSTDHH,2022-08-06,104
#CSTDHH,2022-08-07,1191
#CSTDHH,2022-08-08,215
#CSTDHH,2022-08-10,131
#CSTDHH,2022-08-13,264
#CSTDHH,2022-08-14,2585
#CSTDHH,2022-08-15,99
#CSTDHH,2022-08-16,104
#CSTDHH,2022-08-17,278
#CSTDHH,2022-08-18,61
#CSTDHH,2022-08-20,92
#CSTDHH,2022-08-21,21
#CSTDHH,2022-08-22,6
#CSTDHH,2022-08-23,4685
#CSTDHH,2022-08-24,6053
#CSTDHH,2022-08-25,4633
#CUTARB,2022-07-21,3144
#CYEIBY,2022-07-16,2220
#CYEIBY,2022-07-20,1112
#CYEIBY,2022-07-21,102
#CYEIBY,2022-07-23,236
#CYEIBY,2022-07-24,259
#CYEIBY,2022-08-03,69
#CYEIBY,2022-08-05,2504
#CYEIBY,2022-08-06,886
#CYEIBY,2022-08-07,2156
#CYEIBY,2022-08-09,5313
#CYEIBY,2022-08-15,28
#CYEIBY,2022-08-22,4985
#CYEIBY,2022-08-24,3071
#DBVEOA,2022-07-15,1748
#DBVEOA,2022-07-16,16230
#DBVEOA,2022-07-17,1242
#DBVEOA,2022-07-18,6688
#DBVEOA,2022-07-19,11880
#DBVEOA,2022-07-20,3822
#DBVEOA,2022-07-21,3885
#DBVEOA,2022-07-28,295
#DBVEOA,2022-07-29,12725
#DBVEOA,2022-07-30,8587
#DBVEOA,2022-07-31,40
#DBVEOA,2022-08-01,2285
#DBVEOA,2022-08-02,7096
#DBVEOA,2022-08-03,7098
#DBVEOA,2022-08-04,4867
#DBVEOA,2022-08-07,1400
#DBVEOA,2022-08-08,1039
#DBVEOA,2022-08-09,15
#DBVEOA,2022-08-13,582
#DBVEOA,2022-08-14,775
#DBVEOA,2022-08-22,15
#DFPEGX,2022-07-15,7430
#DFPEGX,2022-07-16,17
#DFPEGX,2022-07-20,2215
#DFPEGX,2022-07-21,1735
#DFPEGX,2022-07-22,3219
#DFPEGX,2022-07-26,8154
#DFPEGX,2022-07-27,484
#DFPEGX,2022-07-28,42
#DHDDRE,2022-07-17,4651
#DHDDRE,2022-07-20,2262
#DHDDRE,2022-07-21,2454
#DJQUPN,2022-07-22,4396
#DJQUPN,2022-07-23,74
#DJQUPN,2022-07-24,90
#DJQUPN,2022-07-26,5536
#DJQUPN,2022-07-27,5616
#DJQUPN,2022-07-29,2183
#DJQUPN,2022-07-31,3459
#DJQUPN,2022-08-01,3619
#DJQUPN,2022-08-02,4247
#DJQUPN,2022-08-03,12162
#DJQUPN,2022-08-05,10990
#DJQUPN,2022-08-08,8785
#DJQUPN,2022-08-09,6860
#DJQUPN,2022-08-10,5695
